run,global_step,optimizer_tick_seen,anchor_q_updates,q_reconstruction_rel_error,q_cond,pg_clipfrac,entropy,response_length_mean,score_mean
K=20 cadence/delay (fxo8chsv),1,2,0,0.9752514817345551,1.0000003491129839,0.2673589463035265,5.7762131690979,276.474609375,0.1376953125
K=20 cadence/delay (fxo8chsv),10,20,1,0.04048589792777376,1.0000003320830753,0.1882502599619329,5.044689178466797,259.9072265625,0.1474609375
K=20 cadence/delay (fxo8chsv),20,40,2,0.03509179286253628,1.0000002895083253,0.17693251984019298,2.3049943447113037,207.5400390625,0.6142578125
K=20 cadence/delay (fxo8chsv),30,60,3,0.03389424332026919,1.0000003065382208,0.14304099092260003,2.265171766281128,163.7158203125,0.611328125
K=20 cadence/delay (fxo8chsv),40,80,4,0.037514095538720094,1.0000003065382208,0.1463982378190849,1.8142367601394653,243.953125,0.6357421875
K=20 cadence/delay (fxo8chsv),50,100,5,0.03290725561001857,1.0000003150531758,0.1129057866637595,1.1842741966247559,148.7626953125,0.6748046875
K=20 cadence/delay (fxo8chsv),60,120,6,0.030765506343150995,1.0000002639634669,0.1576194945955649,1.0085023641586304,157.607421875,0.451171875
K=20 cadence/delay (fxo8chsv),70,140,7,0.029611581027955813,1.0000003235681214,0.12755042017670348,1.0394681692123413,151.9189453125,0.3330078125
K=20 cadence/delay (fxo8chsv),80,160,8,0.03030007646486225,1.0000002724784187,0.11564801936037838,1.0284020900726318,166.71875,0.515625
K=20 cadence/delay (fxo8chsv),90,180,9,0.03168534059235183,1.0000002724784198,0.09518572874367237,0.8257911801338196,188.583984375,0.5703125
K=20 cadence/delay (fxo8chsv),100,200,10,0.05535954790043331,1.0000002895083202,0.12480907435528935,0.4194760024547577,683.4248046875,0.4599609375
K=5 cadence/delay (rsvo7y1p),1,2,0,0.9753331585702719,1.0000003491129839,0.25153575216730434,5.665759563446045,282.8212890625,0.1162109375
K=5 cadence/delay (rsvo7y1p),3,6,1,0.04236175189128509,1.0000002554485132,0.09932450857013464,5.390110015869141,291.7197265625,0.107421875
K=5 cadence/delay (rsvo7y1p),5,10,2,0.037878991385808004,1.0000002809933715,0.08322603977285326,2.238407850265503,269.3701171875,0.169921875
K=5 cadence/delay (rsvo7y1p),8,16,3,0.037251656184255834,1.0000002724784187,0.22498484048992395,2.0972042083740234,273.0,0.38671875
K=5 cadence/delay (rsvo7y1p),10,20,4,0.0349709083048078,1.000000263963466,0.10684751665394288,2.0658819675445557,236.8017578125,0.5185546875
K=5 cadence/delay (rsvo7y1p),13,26,5,0.03498096491403403,1.000000340598026,0.2107472326606512,1.9757990837097168,227.7353515625,0.5205078125
K=5 cadence/delay (rsvo7y1p),15,30,6,0.03584379562571335,1.000000306538227,0.12724951664858963,1.9516465663909912,207.3623046875,0.53125
K=5 cadence/delay (rsvo7y1p),18,36,7,0.032894727726926816,1.0000003235681345,0.2022178890183568,1.612851858139038,188.265625,0.6748046875
K=5 cadence/delay (rsvo7y1p),20,40,8,0.03259559009636788,1.000000306538229,0.10623647455940954,1.683953881263733,182.3525390625,0.65234375
K=5 cadence/delay (rsvo7y1p),23,46,9,0.032632175894295276,1.0000002895083202,0.15085283108055592,1.4795719385147095,183.91796875,0.7265625
K=5 cadence/delay (rsvo7y1p),25,50,10,0.03182603874765488,1.0000002895083202,0.07730051263934001,1.4079385995864868,177.5224609375,0.7431640625
K=5 cadence/delay (rsvo7y1p),28,56,11,0.031146638637161998,1.0000003576279366,0.1326561775058508,1.2578527927398682,163.2578125,0.796875
K=5 cadence/delay (rsvo7y1p),30,60,12,0.03169240729213089,1.0000002639634609,0.08001660430454649,1.219547152519226,175.994140625,0.7587890625
K=5 cadence/delay (rsvo7y1p),33,66,13,0.031787242397976055,1.000000306538224,0.15765465702861547,1.122260332107544,172.5771484375,0.7265625
K=5 cadence/delay (rsvo7y1p),35,70,14,0.03235389975970564,1.0000002809933726,0.10527233895845711,1.0962622165679932,180.5478515625,0.70703125
K=5 cadence/delay (rsvo7y1p),38,76,15,0.03257503874980698,1.0000003150531807,0.19334245845675468,0.965873122215271,188.03515625,0.7509765625
K=5 cadence/delay (rsvo7y1p),40,80,16,0.03267046216751325,1.0000002809933726,0.09002355724805966,0.9997132420539856,186.568359375,0.755859375
K=5 cadence/delay (rsvo7y1p),43,86,17,0.03322386708461952,1.0000002469335603,0.19595865532755852,0.808009684085846,184.0126953125,0.724609375
K=5 cadence/delay (rsvo7y1p),45,90,18,0.03298089354728579,1.0000002895083202,0.12141346849966794,0.7745617628097534,195.7001953125,0.6640625
K=5 cadence/delay (rsvo7y1p),48,96,19,0.033461919646795804,1.0000003405980382,0.1760438783094287,0.6590908765792847,183.87109375,0.78515625
K=5 cadence/delay (rsvo7y1p),50,100,20,0.03346918593981631,1.0000002980232752,0.09963505668565631,0.631979763507843,180.8466796875,0.794921875
